galaxy,T,V_flat,class,n_pts,n_restarts,rho_s,r_s,X,alpha,beta,gamma,chi2,chi2_red,bic,verdict,elapsed_s
NGC6674,3,241,SMBH-class,15,100,13922574.619077804,15.124929527907224,-1.5000000000000002,1.038607630257374,2.8050000000000006,1.0071352924909334,169.1570980652772,14.0964248387731,177.28124866858383,FAIL,1.41329026222229
UGC06787,2,248,SMBH-class,55,100,11561427.745403588,17.273638800964854,-1.5000000000000002,1.038607630257374,2.8050000000000006,1.0071352924909334,1486.327558463573,28.583222278145637,1498.3495580192705,FAIL,0.7076358795166016
UGC09133,2,227,SMBH-class,64,95,8013389.617065,16.340204719326934,-1.693092936229837,1.4783935108083108,2.706562025036975,0.8218314635780122,485.1531948179533,7.953331062589397,497.6298440680322,FAIL,17.777527809143066
NGC5907,5,215,SMBH-class,19,100,19304136.56848547,10.63546463227046,-1.5000000000000002,1.038607630257374,2.8050000000000006,1.0071352924909334,93.01454031434837,5.813408769646772,101.84785725184769,FAIL,0.8867368698120117
NGC5033,5,194,SMBH-class,20,99,26481129.85203841,6.657281653137694,-2.342223253078047,2.6458768740116776,2.5177833803628893,0.3133133410253892,52.42158775508486,3.0836228091226388,61.40878457574683,FAIL,5.086174011230469
NGC2841,3,285,SMBH-class,50,100,55631171.88627189,9.146547065092202,-1.5000000000000002,1.038607630257374,2.8050000000000006,1.0071352924909334,146.15704049334016,3.109724265815748,157.8931095096246,FAIL,6.379202842712402
UGC02953,2,265,SMBH-class,106,100,26727984.24391765,11.83597319631028,-1.5000000000000018,1.0386076302573777,2.8049999999999997,1.0071352924909318,580.7120093808342,5.637980673600332,594.7023266631703,FAIL,0.7844281196594238
NGC5985,3,294,SMBH-class,33,100,104487944.17185923,6.449051701200517,-1.5000000000000002,1.038607630257374,2.8050000000000006,1.0071352924909334,78.28638354462792,2.609546118154264,88.77590622902737,FAIL,0.9040989875793456
NGC0289,4,163,SMBH-class,28,92,6190972.153552341,15.865180923973403,-1.5000000000000002,1.038607630257374,2.8050000000000006,1.0071352924909334,50.53741004321733,2.021496401728693,60.53402357374294,FAIL,26.74418807029724
UGC00128,8,73,late-type,22,84,5033801.398096486,14.090857582470129,-1.5000000000000002,1.038607630257374,2.8050000000000006,1.0071352924909334,49.03457014486981,2.58076684972999,58.30769750494476,FAIL,52.87188911437988
