galaxy,T,n_data,status,iteration,mu_disk_at_fit,tau_disk_at_fit,mu_bulge_at_fit,tau_bulge_at_fit,fit_time_sec,bulgeless,best_N,best_bic,best_chi2,best_chi2_red,best_Y_disk,best_Y_bulge,prior_penalty_at_best,is_adequate,is_shell_bearing,delta_bic_framework_vs_burkert,chi2_N0,chi2_red_N0,bic_N0,Y_disk_N0,Y_bulge_N0,chi2_N1,chi2_red_N1,bic_N1,Y_disk_N1,Y_bulge_N1,M_shell_1_N1,r_shell_1_N1,sigma_shell_1_N1,sigma_over_r_1_N1,chi2_N2,chi2_red_N2,bic_N2,Y_disk_N2,Y_bulge_N2,M_shell_1_N2,r_shell_1_N2,sigma_shell_1_N2,sigma_over_r_1_N2,M_shell_2_N2,r_shell_2_N2,sigma_shell_2_N2,sigma_over_r_2_N2
CamB,-1,3,insufficient_data,0,-0.3010299956639812,0.1,-0.1549019599857432,0.1,0.0012769699096679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D512-2,-1,4,insufficient_data,0,-0.3010299956639812,0.1,-0.1549019599857432,0.1,0.0004217624664306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D564-8,-1,6,ok,0,-0.3010299956639812,0.1,-0.1549019599857432,0.1,0.41893696784973145,True,0.0,7.443494437142251,0.27645656023003107,0.13822828011501553,0.49854682890590835,0.6999999998352029,0.00015978126471451084,True,False,5.321758131288128,0.27645656023003107,0.13822828011501553,7.443494437142251,0.49854682890590835,0.6999999998352029,0.22293628383399383,0.22293628383399383,12.765252568430379,0.49748020065964116,0.6999995779837349,2314633.078677555,1.0620024013169194,0.08409833545068654,0.07918846072890393,0.42939094329395555,0.42939094329395555,18.346985635574505,0.48650653157335505,0.7000000052520285,2802133.0964525677,7.893081175985714,0.07893081175985714,0.01,21852718.439900454,47.54422415027661,0.47544224150276615,0.01
D631-7,-1,15,ok,0,-0.3010299956639812,0.1,-0.1549019599857432,0.1,0.5435411930084229,True,0,17.25718234005958,6.4249815356507405,0.5840892305137036,0.42274546178671807,0.701914925707609,0.5314512838089722,True,False,9.579862205306348,6.4249815356507405,0.5840892305137036,17.25718234005958,0.42274546178671807,0.701914925707609,7.880693137650455,0.9850866422063069,26.837044545365927,0.4645460165605173,0.6999987970115242,22282512.095555827,2.6515342132821043,0.08000004509835457,0.03017122867870879,2.350758672370697,0.4701517344741394,29.4312606833928,0.4775027486352489,0.6999984623573406,3415928125.657745,4.429589597142222,1.4071562524257424,0.31767192458045734,7087904043.928424,11.187743255967426,0.11187743255967426,0.01
DDO064,-1,14,ok,0,-0.3010299956639812,0.1,-0.1549019599857432,0.1,0.47496795654296875,True,0,14.650988449306126,4.094759130845094,0.40947591308450937,0.4994493791761706,0.7000000043625394,2.2898780833997185e-05,True,False,5.934347320924001,4.094759130845094,0.40947591308450937,14.650988449306126,0.4994493791761706,0.7000000043625394,2.1119344629233203,0.30170492327476006,20.585335770230127,0.5098550446470669,0.7000001845126738,799103608.7179604,1.4559240215732627,0.48762871707859123,0.33492731066533443,2.037544058500057,0.5093860146250142,28.428117354652642,0.49780866562073645,0.6999999468027985,5201324.082426517,1.3140453440881674,0.525618137635267,0.4,614675867.1756159,1.5586877272480388,0.4584086222784847,0.29409907723327877
DDO154,-1,12,ok,0,-0.3010299956639812,0.1,-0.1549019599857432,0.1,0.4462447166442871,True,0,17.66452636707666,7.724899767924658,0.9656124709905822,0.501354942193799,0.699999983732184,0.00013813209136461936,True,False,6.449722834153462,7.724899767924658,0.9656124709905822,17.66452636707666,0.501354942193799,0.699999983732184,6.719902652714124,1.3439805305428247,24.114249201230123,0.4700571568722367,0.6999999767481461,19111241168.290787,50.0,0.5,0.01,9.389119571221972,4.694559785610986,34.23818606910197,0.47110928089858045,0.6999983791678878,2837345411.6606297,5.542657058437065,1.8980061898211982,0.342436158291995,1133606236.2659786,2.4675001648970234,0.9165419164276981,0.37144553401314495
DDO161,-1,31,ok,0,-0.3010299956639812,0.1,-0.1549019599857432,0.1,0.6423969268798828,True,0,21.211208292606717,7.4752594746661325,0.2768614620246716,0.5188638133425595,0.6999990940659665,0.02586750739813347,True,False,10.686234988684664,7.4752594746661325,0.2768614620246716,21.211208292606717,0.5188638133425595,0.6999990940659665,7.8595328498953565,0.32748053541230654,31.89744328129138,0.5663417448517626,0.699999993464852,296610565.0733553,4.665881440093766,1.8663525760375064,0.4,3.8655806675415505,0.18407526988293096,38.20545271239301,0.49175088879727574,0.700006269159819,4294892290.3026485,7.78150406508824,3.0700230726932274,0.39452823606003146,136323259.1351961,4.846951115523312,0.09543625114676385,0.01968995537031734
DDO168,-1,10,ok,0,-0.3010299956639812,0.1,-0.1549019599857432,0.1,0.35025787353515625,True,1,37.34165439426787,21.22355874330955,7.074519581103183,0.9776701871317747,0.6999916213604916,8.481046751453992,False,True,-14.879019627267361,43.010333649559044,7.168388941593174,52.22067402153523,0.3688120069153763,0.6999999977649213,21.22355874330955,7.074519581103183,37.34165439426787,0.9776701871317747,0.6999916213604916,1219944159.547465,2.0625069878196918,0.4787211356009816,0.2321064308766513,34.13493820790281,34.13493820790281,57.160789137843274,0.42867183860482855,0.6999993905199365,27545193.87846136,6.979024407364284,0.20793106063165753,0.02979371449285206,733081590.9125776,5.113644278912788,0.05113644278912788,0.01
DDO170,-1,8,ok,0,-0.3010299956639812,0.1,-0.1549019599857432,0.1,0.4413790702819824,True,0,20.098388055935523,11.780621889216178,2.9451554723040445,0.5927804917079509,0.6999999719015643,0.5464742743196018,False,False,12.940249591617984,11.780621889216178,2.9451554723040445,20.098388055935523,0.5927804917079509,0.6999999719015643,37.35780831802807,37.35780831802807,51.91389910978692,0.47107291260740086,0.7000012569091848,20397428444.409637,15.208976876939575,6.0148051348825895,0.3954773015667125,12.24422223075515,12.24422223075515,33.03863764755351,0.6838002072787024,0.6999893436691982,76698134.85133235,2.317645347605876,0.08382637499419036,0.036168767184669944,8999847975.169788,20.694900511798643,8.277960204719458,0.4
ESO079-G014,-1,15,ok,0,-0.3010299956639812,0.1,-0.1549019599857432,0.1,0.506026029586792,True,0,24.026477987756017,13.194277183347179,1.1994797439406526,0.34526382611231454,0.6999999958397114,2.5862726762443073,True,False,8.454155232837401,13.194277183347179,1.1994797439406526,24.026477987756017,0.34526382611231454,0.6999999958397114,15.99235194408795,1.9990439930109938,34.94870335180342,0.5872134442021323,0.6999995116445876,10667293.471560627,3.6620087227188374,0.036620087227188375,0.01,5.400131209571316,1.0800262419142632,32.48063322059342,0.4764305473553512,0.7000005853001378,5358817286.397203,5.848328778200948,0.9161634429946492,0.15665388827139054,19338503.849145688,21.328261418959027,8.53130456758361,0.4
