Galaxy,T,V_flat,burk_a_kpc,burk_bic,burk_chi2,burk_chi2_red,burk_rho0,fw_best_bic,fw_best_chi2,fw_best_chi2_red,fw_best_n_shells,fw_n0_bic,fw_n0_chi2,fw_n0_chi2_red,fw_n1_M_sh1,fw_n1_bic,fw_n1_chi2,fw_n1_chi2_red,fw_n1_r_sh1_kpc,fw_n1_sigma_sh1_kpc,fw_n2_M_sh1,fw_n2_M_sh2,fw_n2_bic,fw_n2_chi2,fw_n2_chi2_red,fw_n2_r_sh1_kpc,fw_n2_r_sh2_kpc,fw_n2_sigma_sh1_kpc,fw_n2_sigma_sh2_kpc,is_clean,logM_halo,logM_star,n_excluded,n_pts_total,n_pts_used,nfw_bic,nfw_chi2,nfw_chi2_red,nfw_r_s_kpc,nfw_rho_s,ratio_fw_over_burk,ratio_fw_over_nfw
ESO079-G014,4,175.0,8.029104411232685,18.732513615706576,13.316413213502155,1.0243394779617043,32069384.1192912,16.144665639525975,2.604414634014924,0.2604414634014924,1,18.732513615706576,13.316413213502155,1.0243394779617043,23592924771.75134,16.144665639525975,2.604414634014924,0.2604414634014924,6.3615300803134165,2.017006967420702,4992903212.456188,12610994539.51058,23.94130259987424,2.2769009910565625,0.3252715701509375,5.999999999999999,5.999999999999999,2.3999999999999995,1.4496098334179415,True,12.152458642707415,10.412737668240323,0,15,15,54.91149705451474,49.49539665231032,3.807338204023871,68.21747054741157,1030414.7672734717,0.1955792894271396,0.05261933048663338
ESO116-G012,7,109.1,3.638672747809424,15.54978601717692,10.1336856149725,0.7795142780748077,66532905.7684749,15.54978601717692,10.1336856149725,0.7795142780748077,0,15.54978601717692,10.1336856149725,0.7795142780748077,3050408868.2385907,18.51309953247199,4.972848526960939,0.4972848526960939,4.4252814691212565,1.6190173552220162,1741589613.7143288,2848977606.26929,24.8194092986683,3.155007689850622,0.4507153842643746,2.158723879961234,3.985991418672214,0.8149500051084866,0.28657957074114204,True,11.53681874841356,9.331629717629932,0,15,15,35.814578157115335,30.398477754910918,2.338344442685455,24.04646081360211,2793553.801857206,1.0,0.3333616142451537
ESO563-G021,4,314.6,8.723264440653686,174.6626590334419,168.07098530143324,6.722839412057329,83788777.79692943,34.421645496184674,8.054950568150039,0.4239447667447389,2,174.6626590334419,168.07098530143324,6.722839412057329,49999999999.99999,49.644611319943806,33.16542698992216,1.5075194086328254,5.845224996605396,1.1051433118949232,49999999999.99999,32349919698.787914,34.421645496184674,8.054950568150039,0.4239447667447389,7.641446205564531,4.797837587225713,1.0582778964405917,0.6106762073611,False,12.91662065151034,11.191977493867602,3,30,27,367.54933498559205,360.9576612535834,14.438306450143337,33.054111454744955,6681813.205197668,0.04792588413582264,0.022315499663244986
F568-V1,7,112.3,2.992960829210267,6.113151822583154,0.6970514203787336,0.05361934002913335,114107756.41358398,6.113151822583154,0.6970514203787336,0.05361934002913335,0,6.113151822583154,0.6970514203787336,0.05361934002913335,1063493304.6543385,14.065557453429351,0.5253064479183008,0.05253064479183008,5.0617216086375665,0.05254587983041978,3931112030.23217,11428291384.308622,21.680870617806328,0.016469008988646165,0.002352715569806595,2.1007767087315847,4.755390310942094,0.6778116039680906,1.2837737368088908,True,11.574483765432907,9.281601443825656,0,15,15,8.240021207925697,2.8239208057212775,0.2172246773631752,8.012874819928658,17230663.69470997,1.0,0.24683816166746034
F571-8,5,139.7,8.157272934566318,13.70317494875086,9.30872579407842,1.3298179705826314,29068745.066364277,13.70317494875086,9.30872579407842,1.3298179705826314,0,13.70317494875086,9.30872579407842,1.3298179705826314,15977666780.088066,14.320203985832201,3.3340810991511036,0.8335202747877759,6.2197259761385455,1.7314177825182602,5411752613.19878,23428618758.78685,17.62818252564513,0.050385906955372026,0.050385906955372026,4.552435421125172,7.649137528592359,0.4518976072302344,2.1370080208940108,False,11.85893371499108,9.70603466071435,4,13,9,27.75439220956099,23.35994305488855,3.337134722126936,86.0053730647367,746931.0931876488,1.0,0.3984909454704504
F571-V1,7,83.6,5.440086177585878,4.0487449792898,0.15692468117917271,0.03138493623583454,17634953.418500338,4.0487449792898,0.15692468117917271,0.03138493623583454,0,4.0487449792898,0.15692468117917271,0.03138493623583454,1055307686.1617163,9.746125752539712,0.016575007263146438,0.008287503631573219,3.9485793971821366,0.2454986599506425,519755209.89243007,535565918.9839115,15.583856199776985,0.016575007334478385,0.016575007334478385,3.649787159694575,4.478507479382939,0.28334240796110993,0.16047324371601987,True,11.189963328965584,8.965906915495191,0,7,7,5.485680934274249,1.5938606361636232,0.31877212723272463,26.16328361134044,1150215.4932787295,1.0,0.0984557103793503
F574-1,7,97.8,3.5408736135661827,6.409047089074895,1.1309324298443786,0.09424436915369822,53940499.73553294,6.409047089074895,1.1309324298443786,0.09424436915369822,0,6.409047089074895,1.1309324298443786,0.09424436915369822,1604622710.933956,13.280667790123367,0.08538114204707392,0.009486793560785991,2.8210867298906495,0.8246692153029347,1705333263.8691368,2338495545.5215282,21.12821522397859,0.015756587056522293,0.0026260978427537153,3.008224622143044,8.412172390871792,0.8109982660842481,1.7400911600250517,True,11.394361061011338,9.514348489301938,0,14,14,25.00279381116654,19.724679151936023,1.6437232626613352,15.908198076629645,3600211.893340865,1.0,0.057335910061349464
F583-1,9,85.8,4.588203947974259,10.918554894065508,4.480803244329108,0.19481753236213512,25830814.683669746,10.918554894065508,4.480803244329108,0.19481753236213512,0,10.918554894065508,4.480803244329108,0.19481753236213512,1289380598.009416,18.636298157339873,2.5419190329988712,0.12709595164994356,3.4943774803007046,1.0602887622675126,1494411119.1233058,183096308.25448325,27.42352596061743,1.6725193616718235,0.09838349186304844,4.163886004561452,2.19889651399865,1.2781627572722725,0.021988970510550734,True,11.22380636019465,8.69284691927723,0,25,25,42.39528780296691,35.957536153230514,1.563371137096979,29.88163738364087,1059542.650034284,1.0,0.12461374509183498
IC2574,9,66.4,10.817278803042761,48.87325262039341,41.820531571161084,1.3068916115987839,4475181.534475452,31.002172746021003,13.370370122940196,0.4610472456186275,1,48.87325262039341,41.820531571161084,1.3068916115987839,334303179.0842196,31.002172746021003,13.370370122940196,0.4610472456186275,2.448790381555648,0.7084278015617441,503029649.9180361,9004916457.760647,35.369359239077355,7.1584750421480585,0.2753259631595407,2.628485992862996,8.090532956246266,0.6060030471812254,2.1632806699231706,True,10.889848734752588,8.70586371228392,0,34,34,171.31635000499338,164.26362895576105,5.133238404867533,499.99999999996106,20816.710464507552,0.31970827774365823,0.08139580385467474
IC4202,4,242.6,6.556600890462001,92.24368741930842,85.50909575933547,3.167003546642054,67070145.92413735,35.204083903639905,8.26571726374811,0.3936055839880052,2,92.24368741930842,85.50909575933547,3.167003546642054,35450443668.75453,48.5365603907143,31.700081240781927,1.3208367183659135,5.412335439466192,1.4333801250513392,11875372266.073677,26110026482.548042,35.204083903639905,8.26571726374811,0.3936055839880052,3.877137327004502,6.294970801715148,0.12137052932873083,0.8725653563140227,False,12.578016886240198,10.9536364872814,3,32,29,135.25665065677342,128.52205899680047,4.760076259140758,24.41568680676633,5943654.825117352,0.09666477221337824,0.06431360754929925
